x,Curve1
-69.4044,30.8666
-68.5804,31.7754
-67.8021,32.6839
-67.1153,33.5098
-66.4288,34.1711
-65.6052,34.9152
-64.8722,35.9882
-64.2312,36.7316
-63.635,37.8863
-63.1744,39.6166
-62.805,41.4288
-62.5733,42.9112
-62.5691,44.7219
-62.6571,46.2031
-62.655,47.1084
-62.3786,48.1795
-61.8722,49.9923
-61.4582,51.3109
-61.135,52.876
-60.9954,54.0288
-60.9012,55.2638
-60.3967,56.2535
-59.7104,56.8325
-58.7964,57.1654
-57.7915,57.3342
-57.0612,57.1726
-56.3771,56.8462
-55.6023,56.1909
-55.2391,55.2871
-55.3789,54.0519
-55.7013,52.816
-56.2976,51.6613
-56.8478,50.6714
-57.3519,49.8463
-57.8565,48.8566
-58.4975,48.1132
-59.0012,47.4527
-59.3233,46.3814
-59.5546,45.0636
-59.7858,43.828
-60.108,42.6745
-60.4303,41.5209
-60.8898,40.2844
-61.3954,38.8008
-61.9921,37.4815
-62.7253,36.3262
-63.5493,35.4175
-64.3274,34.5912
-65.151,33.8471
-65.8831,33.1857
-66.6152,32.5242
-67.3473,31.8628
-67.8964,31.3667
-68.5365,31.0348
-69.3582,31.1138
