x,Curve1
-70.9099,30.3659
-70.9811,30.8943
-70.7031,31.626
-70.2847,32.1545
-69.9014,32.6829
-69.5179,33.1707
-69.0292,33.5366
-68.5408,34.0244
-67.9825,34.4715
-67.3541,34.9187
-66.726,35.4472
-66.1323,35.7724
-65.469,36.2195
-64.7707,36.626
-64.1772,37.0325
-63.5835,37.3171
-62.9549,37.6423
-62.3611,37.9268
-61.7325,38.252
-61.0689,38.5772
-60.3704,38.9024
-59.9165,39.187
-59.323,39.5528
-58.7293,39.878
-58.2055,40.1626
-57.6469,40.5285
-57.1231,40.813
-56.6693,41.1382
-56.1105,41.4228
-55.5871,41.8699
-55.0982,42.1138
-54.5745,42.4797
-53.9459,42.8049
-53.1769,42.8862
-52.6523,42.8455
-52.1975,42.7236
-51.7075,42.5203
-51.3219,42.1138
-50.9712,41.626
-50.8997,40.9756
-51.1079,40.2846
-51.6314,39.878
-52.1551,39.5528
-52.7487,39.187
-53.3075,38.9024
-54.006,38.5772
-54.4949,38.2927
-55.1237,38.0488
-55.8571,37.6829
-56.5908,37.439
-57.2544,37.1545
-57.9182,36.9106
-58.6518,36.626
-59.4552,36.3008
-60.1539,36.0163
-60.9225,35.7724
-61.6562,35.5285
-62.285,35.2439
-62.9836,34.9593
-63.6821,34.6341
-64.3808,34.3496
-65.0094,34.0244
-65.673,33.6992
-66.3365,33.374
-66.9651,33.0488
-67.5587,32.6829
-68.1872,32.3171
-68.7107,31.9106
-69.2691,31.4634
-69.7226,31.0163
-70.1063,30.6098
-70.3152,30.2033
-70.5245,30
-70.9442,30.0407
-71.05,30.4472
