x,Curve1
-71.4118,29.631
-71.5832,29.5209
-72.0106,29.5221
-72.4375,29.6338
-72.9923,29.8011
-73.5044,29.9682
-73.8867,30.5218
-74.0548,31.1852
-74.0515,31.9587
-73.7481,32.9523
-73.4442,34.0565
-73.142,34.7739
-72.8391,35.657
-72.6653,36.3195
-72.4913,37.0373
-72.3163,37.976
-72.1423,38.6938
-72.1818,39.4674
-72.3067,40.2412
-72.3468,40.849
-72.0439,41.7322
-71.5287,42.2832
-70.929,42.6131
-70.202,42.7216
-69.6038,42.7199
-69.0064,42.4973
-68.4948,42.2196
-68.0693,41.7764
-67.816,41.0575
-67.948,40.1739
-68.2521,39.0145
-68.5977,38.1315
-68.9856,37.3591
-69.374,36.4762
-69.8484,35.483
-70.3652,34.5452
-70.8815,33.7179
-71.3552,32.8905
-71.6994,32.3389
-72.0011,31.732
-72.3031,31.0699
-72.3052,30.5727
-72.0073,30.2956
-71.6664,30.0737
-71.3686,29.7413
