x,Curve1
-82.1513,20.3927
-82.5546,20.6148
-82.8235,20.8365
-83.2269,21.1139
-83.563,21.3911
-83.9328,21.6683
-84.3025,21.8903
-84.7059,22.2229
-85.0756,22.445
-85.5126,22.7777
-85.9496,23.1104
-86.3866,23.3326
-86.7899,23.7757
-87.2941,24.0533
-87.6975,24.3859
-88.2353,24.8294
-88.7059,25.2174
-89.1765,25.5502
-89.7815,25.9386
-90.2521,26.2714
-90.7899,26.7149
-91.2605,27.1029
-91.7647,27.7121
-92.4034,28.2111
-92.8067,28.7647
-93.1092,29.2627
-93.3109,30.092
-93.2101,30.8652
-92.8739,31.4168
-92.437,31.7471
-91.9664,31.9668
-91.3613,32.0203
-90.8235,32.0188
-90.2857,31.9069
-89.8824,31.6295
-89.479,31.0759
-89.2773,30.3571
-89.2437,29.694
-89.042,28.92
-88.7395,28.3114
-88.3025,27.7577
-87.8992,27.3699
-87.395,26.816
-86.8908,26.3726
-86.3529,25.7082
-85.8824,25.0991
-85.4118,24.5453
-84.9412,23.9916
-84.3697,23.4375
-83.8992,22.9942
-83.4622,22.6615
-83.0252,22.2183
-82.6891,21.8306
-82.2857,21.3323
-81.916,20.8893
-81.9496,20.6131
