x,Curve1
-84.838,25.7292
-85.0972,25.8904
-85.1296,26.2547
-85.162,26.7405
-85.162,27.3477
-85.1296,27.9551
-85.0324,28.4007
-84.8704,28.7655
-84.7084,29.1708
-84.514,29.7786
-84.2549,30.2652
-83.9633,30.8328
-83.6069,31.2791
-83.2505,31.7254
-82.8942,32.0907
-82.4082,32.5778
-81.987,32.9029
-81.5011,33.2281
-80.9179,33.594
-80.4968,33.8381
-79.9784,34.1229
-79.4276,34.4482
-78.8445,34.6522
-78.2937,34.8966
-77.6134,35.0604
-76.9978,35.1835
-76.2527,35.2665
-75.54,35.3494
-74.8596,35.3108
-74.1793,35.3126
-73.5637,35.2738
-72.9482,35.235
-72.365,35.1556
-71.9438,35.0757
-71.2959,34.956
-70.7775,34.7955
-70.2916,34.5134
-70,34.1093
-69.7732,33.6241
-69.7732,33.0573
-70.0324,32.4898
-70.3564,32.0841
-70.7451,31.7996
-71.3607,31.555
-71.8467,31.5132
-72.3002,31.593
-72.7862,31.8346
-73.2397,31.9548
-73.7257,32.1559
-74.3413,32.2757
-74.8596,32.4768
-75.4104,32.4753
-75.9611,32.6762
-76.5443,32.6746
-77.1922,32.6324
-77.9698,32.5089
-78.6177,32.3856
-79.2981,32.1409
-79.784,31.9372
-80.3672,31.6522
-80.9179,31.3673
-81.4039,31.0826
-82.0194,30.7165
-82.473,30.3105
-82.9266,29.7829
-83.2181,29.3773
-83.5097,28.8907
-83.8661,28.3634
-84.1253,27.7959
-84.2873,27.1477
-84.3521,26.4997
-84.3844,26.0948
-84.5464,25.8514
-84.8056,25.7293
