x,Curve1
-89.4681,24.8078
-89.9291,25.0555
-90.3546,25.2618
-90.7092,25.4683
-91.2057,25.7159
-91.4894,25.9226
-92.0567,26.3359
-92.4113,26.6254
-92.8014,26.9978
-93.1915,27.3701
-93.5461,27.7426
-93.8298,28.1983
-94.1844,28.7782
-94.5035,29.3997
-94.7163,30.0215
-94.9291,30.7678
-95.1064,31.6387
-95.1418,32.51
-95.1064,33.0495
-95.1064,33.7549
-94.9645,34.5852
-94.6454,35.5404
-94.2199,36.4129
-93.7943,37.0365
-93.3333,37.6187
-92.8369,38.1595
-92.1277,38.5349
-91.3475,38.8275
-90.461,39.1204
-89.6454,39.2472
-88.9007,39.1248
-88.3333,38.9604
-87.8723,38.6297
-87.4823,37.9669
-87.305,37.1375
-87.5887,36.3898
-88.0496,35.9736
-88.617,35.6816
-89.2553,35.4723
-89.8227,35.4293
-90.4965,35.2614
-91.0638,34.8449
-91.6312,34.3454
-92.0922,33.5558
-92.3759,32.8911
-92.6241,32.185
-92.6596,31.2305
-92.6596,30.4007
-92.5532,29.6956
-92.3759,29.0322
-92.1277,28.4104
-91.773,27.8305
-91.4539,27.2505
-91.1348,26.8779
-90.6028,26.34
-90.1064,25.9679
-89.7872,25.7198
-89.4326,25.4303
-89.3617,24.9326
